e1,e2,sim,label,annotated
beta adrenergic blockers,beta adrenergic blocking agents,84,1,manually
vitamin k,vitamin b6,84,0,pubmed_formula
warfarin-type anticoagulant,coumarin-type anticoagulants,84,0,manually
beta adrenergic blocking agents,beta-adrenoceptor blocking agents,84,0,manually
h2 antagonists,5-ht3 antagonists,84,0,manually
5ht3 antagonist class,5-ht3 antagonists,84,1,manually
enflurane,desflurane,84,0,pubmed_formula
coumarin-type anticoagulants,coumarin-derivative anticoagulants,84,1,manually
vitamin d,vitamin b6,84,0,manually
vitamin k,vitamin d2,84,0,pubmed_formula
vitamin e,vitamin d2,84,0,pubmed_formula
decongestants,decongestant drugs,84,1,manually
vitamin k,vitamin b3,84,0,pubmed_formula
steroidal anti-inflammatory agent,non-steroidal anti-inflammatory,84,0,manually
potassium- sparing diuretics,magnesium sparing diuretics,84,0,manually
ticlopidine,iopidine,84,0,pubmed_formula
vitamin c,vitamin b3,84,0,pubmed_formula
s- warfarin,warfarin,84,0,manually
vitamin-d,vitamin d2,84,0,manually
vitamin d,vitamin b3,84,0,manually
vitamin k antagonists,histamine h2 antagonists,84,0,manually
morphine,apomorphine,84,0,pubmed_formula
warfarin,r- warfarin,84,0,manually
potassium- sparing diuretics,potassium depleting diuretics,84,0,manually
steroidal anti-inflammatory agent,non-steroidal anti-inflammatory drug,84,0,manually
beta-adrenoceptor blocking agents,beta-adrenergic-blocking agents,84,1,manually
protamine,ergotamine,84,0,manually
lignocaine,lidocaine,84,1,drugbank_syn
nonsteroidal antiinflammatory drug,non- steroidal anti- inflammatory agents,84,1,manually
trecator-sc,trecator,84,1,pubmed_synonyms
nonsteroidal antiinflammatory,non- steroidal anti- inflammatory agents,84,1,manually
rifamycin,rifampicin,84,0,pubmed_formula
vitamin e,vitamin b3,84,0,pubmed_formula
anti-hypertensive drug,antihypertensive,84,1,manually
serotonin reuptake inhibitors,selective serotonin reuptake inhibitor,84,1,manually
antihypertensive drugs,antihypertensive,84,1,manually
vitamin d2,vitamin a,84,0,pubmed_formula
urinary acidifying agents,urinary acidifying,84,1,manually
vitamin b3,vitamin a,84,0,pubmed_formula
antibacterial,antibacterial drug,84,1,manually
flecainide,encainide,84,0,pubmed_formula
vitamin e,vitamin d3,84,0,pubmed_formula
vitamin k,vitamin d3,84,0,pubmed_formula
kappa-selective opioids,mu-selective opioids,84,0,manually
vitamin-d,vitamin d3,84,0,manually
lorazepam,clonazepam,84,0,pubmed_formula
steroidal anti-inflammatory agent,nonsteroidal antiinflammatory,84,0,manually
steroidal anti-inflammatory agent,nonsteroidal antiinflammatory drug,84,0,manually
sympathomimetic amine,sympathomimetic agents,84,1,manually
sympathomimetic drugs,sympathomimetic agents,84,1,manually
anticholinesterase agents,anticholinesterase,84,1,manually
vitamin b6,vitamin a,84,0,pubmed_formula
vitamin d2,vitamin c,84,0,pubmed_formula
5-ht3 antagonists,5-ht1 agonists,84,0,manually
vitamin d3,vitamin a,84,0,pubmed_formula
flutamide,nilutamide,84,0,pubmed_formula
anticholinergic drugs,anticholinergic,83,1,manually
lomefloxacin,levofloxacin,83,0,pubmed_formula
secobarbital,hexobarbital,83,0,pubmed_formula
r- warfarin,r(+) warfarin,83,1,manually
short-acting nitrates,long-acting nitrates,83,0,manually
antihypertensive agents,anti-hypertensives,83,1,manually
glutethimide,aminoglutethimide,83,0,pubmed_formula
hydroxylamine,hydroxyzine,83,0,pubmed_formula
s(-) warfarin,r- warfarin,83,0,manually
beta blocking agents,b-blocking agent,83,1,manually
aminopyrine,aminophylline,83,0,pubmed_formula
fenofibric acid,clofibric acid,83,0,pubmed_formula
beta-adrenergic blocking drugs,beta-adrenergic blocker,83,1,manually
norgestrel,levonorgestrel,83,1,pubmed_synonyms
nonsteroial anti-inflammatory drugs,non- steroidal antiinflammatory agent,83,1,manually
antiretroviral drugs,antiretroviral agents,83,1,manually
s(-)warfarin,(r)-warfarin,83,0,manually
maoi antidepressants,anti-depressants,83,0,manually
antidepressant drugs,anti-depressants,83,1,manually
phenylbutazone,oxyphenbutazone,83,0,pubmed_formula
s(-)warfarin,(s)-warfarin,83,1,manually
beta adrenergic antagonists,adrenergic agonists,83,0,manually
sympathomimetic drugs,sympathomimetic,83,1,manually
sympathomimetic amine,sympathomimetic,83,0,manually
beta adrenergic-blocking agents,alpha-adrenergic blocking agents,83,0,manually
beta-adrenergic blocking drugs,b-adrenergic blocking agents,83,1,manually
histamine h2-receptor antagonists,dopamine d2 receptor antagonists,83,0,manually
beta-adrenergic blocking agent,beta-adrenergic blocker,83,1,manually
magnesium/choline salicylate,magnesium salicylate,83,0,manually
magnesium trisilicate,magnesium salicylate,83,0,pubmed_formula
toxin,toxin a,83,0,manually
non-selective monoamine oxidase (mao) inhibitors,monoamine oxidase (mao) inhibitors,83,0,manually
anticonvulsant drugs,anticonvulsant agents,83,1,manually
ciclosporin,cyclosporin a,83,1,drugbank_syn
muscle relaxant drugs,muscle relaxant,83,1,manually
anticholinergic agent,anticholinergic,83,1,manually
medroxyprogesterone acetate,medroxyprogesterone,83,0,pubmed_formula
antimycobacterial agents,antimycobacterial,83,1,manually
antineoplastic drugs,antineoplastic agents,83,1,manually
albendazole,thiabendazole,83,0,pubmed_formula
tetracycline,chlortetracycline,83,0,pubmed_formula
lodine,iodine,83,0,pubmed_formula
imipramine hydrochloride,diphenhydramine hydrochloride,83,0,pubmed_formula
5-dfcr,5-dfur,83,0,manually
alfentanil,alfenta,82,1,pubmed_synonyms
non-selective beta-adrenergic-blocking agents,beta-adrenergic-blocking agents,82,0,manually
labetalol hcl,labetalol,82,0,pubmed_formula
lovastatin,atorvastatin,82,0,pubmed_formula
alfentanyl,alfenta,82,1,pubmed_synonyms
s warfarin,(s)-warfarin,82,1,drugbank_syn
antiarrhythmic drugs,antiarrhythmic,82,1,manually
azole antifungal agents,azole antifungal,82,1,manually
oxazepam,lorazepam,82,0,pubmed_formula
cycloserine,cyclosporin,82,0,pubmed_formula
buspirone hcl,buspirone,82,0,pubmed_formula
histamine h2-receptor antagonists,h2-receptor antagonists,82,0,manually
anticonvulsant drugs,anticonvulsant,82,1,manually
terazosin,prazosin,82,0,pubmed_formula
vitamins,vitamin a,82,0,manually
milrinone,amrinone,82,0,pubmed_formula
antiarrhythmic agent,antiarrhythmic,82,1,manually
antiparkinsonian agents,antiparkinsonian drug,82,1,manually
benzodiazepine class,benzodiazepine,82,1,manually
neuromuscular blocking agents,neuromuscular blockers,82,1,manually
protamine,procaine,82,0,manually
sulfoxone,suboxone,82,0,pubmed_formula
s warfarin,s(-)warfarin,82,1,manually
h 2 receptor antagonists,dopamine d2 receptor antagonists,82,0,manually
r-warfarin,(s)-warfarin,82,0,manually
fibrate,clofibrate,82,0,manually
miconazole,itraconazole,82,0,pubmed_formula
antihypertensive agents,antihypertensive,82,1,manually
central nervous system stimulants,central nervous system depressant,82,0,manually
fentayl,alfentanyl,82,0,manually
ketorolac,etodolac,82,0,pubmed_formula
fexofenadine hydrochloride,clonidine hydrochloride,82,0,pubmed_formula
vitamin b3,vitamin b-12,82,0,pubmed_formula
trovafloxacin,ofloxacin,82,0,pubmed_formula
vitamins,vitamin e,82,0,manually
misonidazole,miconazole,82,0,pubmed_formula
quinidex,quinidine,82,1,pubmed_synonyms
beta-adrenergic receptor blocking agents,beta-adrenergic receptor antagonists,82,1,manually
antineoplastic drugs,antiepileptic drugs,82,0,manually
beta-adrenoceptor blocking agents,b-adrenergic blocking agents,82,1,manually
beta-adrenergic receptor blocking agents,b-adrenergic blocking agents,82,1,manually
vitamin b6,vitamin b-12,82,0,pubmed_formula
r warfarin,(r)-warfarin,82,1,drugbank_syn
beta-adrenergic blocking drugs,beta adrenergic-blocking agents,82,1,manually
salicylic acid,acetylsalicylic acid,82,0,pubmed_formula
cocaine,chirocaine,82,0,pubmed_formula
voriconazole,miconazole,82,0,pubmed_formula
calcium-channel-blocking agents,calcium channel blocking drugs,82,1,manually
cns-depressant drug,antidepressant drugs,82,0,manually
norpace cr,norpace,82,1,pubmed_synonyms
ofloxacin,ciprofloxacin,82,0,pubmed_formula
neomycin,bleomycin,82,0,pubmed_formula
s(-)warfarin,r-warfarin,82,0,manually
steroidal anti-inflammatory agent,nonsteroial anti-inflammatory drugs,82,0,manually
peripheral adrenergic blocking drugs,beta-adrenergic blocking drugs,82,0,manually
daptomycin,dactinomycin,82,0,pubmed_formula
dinoprost,iloprost,82,0,pubmed_formula
thorazine,ethopropazine,82,0,pubmed_formula
vitamins,vitamin k,82,0,manually
vitamins,vitamin d,82,0,manually
s-warfarin,(r)-warfarin,82,0,manually
enoxacin,cinoxacin,82,0,pubmed_formula
antiretroviral drugs,antiretroviral,82,1,manually
diphenoxylate hydrochloride,diphenhydramine hydrochloride,82,0,pubmed_formula
thyroxine,levothyroxine,82,1,drugbank_syn
valsartan,losartan,82,0,pubmed_formula
vitamins,vitamin-d,82,0,manually
fibrate,etofibrate,82,0,manually
promazine,procaine,82,0,pubmed_formula
clonidine,apraclonidine,82,0,pubmed_formula
rifamycin,rifampin,82,0,pubmed_formula
opioid analgesics,opiate analgesics,82,1,manually
ganciclovir,famciclovir,82,0,pubmed_formula
mesalamine,mecamylamine,82,0,pubmed_formula
vitamin d2,vitamin b-12,82,0,pubmed_formula
maoi antidepressants,antidepressant,82,0,manually
loxapine,clozapine,82,0,pubmed_formula
hypotensive drugs,antihypertensive drugs,82,0,manually
iodine-containing compounds,estrogen-containing compounds,82,0,manually
antipsychotics,antipsychotic agents,82,1,manually
antidepressant drugs,antidepressant,82,1,manually
rosuvastatin,lovastatin,82,0,pubmed_formula
psychotropic agents,antipsychotic agents,82,0,manually
norgestrel,etonogestrel,82,0,pubmed_formula
vitamins,vitamin c,82,0,manually
alendronate,ibandronate,82,0,pubmed_formula
lithium carbonate,calcium carbonate,82,0,pubmed_formula
penciclovir,ganciclovir,82,0,pubmed_formula
steroidal anti-inflammatory agent,nonsteroidal anti inflammatory drug,82,0,manually
steroidal anti-inflammatory agent,non-steroidal antiinflammatory drugs,81,0,manually
corticotropin,corticosteroid,81,0,manually
benzothiazepine,benzothiadiazines,81,0,manually
fluoxetine hydrochloride,clonidine hydrochloride,81,0,pubmed_formula
vitamin d preparations,antacid preparations,81,0,manually
beta-adrenoceptor blocking agents,beta adrenergic-blocking agents,81,1,manually
selegiline hydrochloride,clonidine hydrochloride,81,0,pubmed_formula
beta adrenergic blockers,beta-adrenergic blocking drugs,81,1,manually
benzthiazide,benzothiazepine,81,0,pubmed_formula
mycophenolate,cyclopentolate,81,0,pubmed_formula
synthetic steroids,synthetic estrogens,81,0,manually
antipsychotics,antipsychotic drug,81,1,manually
anticonvulsant,anticoagulant,81,0,manually
catecholamine depletors,catecholamine-depleting drugs,81,1,manually
phenobarbitone,phenobarbital,81,1,drugbank_syn
oxytetracycline,chlortetracycline,81,0,pubmed_formula
thrombolytics,thrombolytic agents,81,1,manually
benzyl alcohol,ethyl alcohol,81,0,pubmed_formula
tricyclic antidepressant agent,tetracyclic antidepressants,81,0,manually
psychotropics,psychotropic agents,81,1,manually
anticholinergic drugs,anticholinergic agent,81,1,manually
calcium channel-blockers,calcium channel blocking drugs,81,1,manually
calcium-channel blockers,calcium channel blocking drugs,81,1,manually
h 2 -receptor antagonists,dopamine d2 receptor antagonists,81,0,manually
sulfonamide drug,sulfonamide,81,1,manually
sympathomimetic agents,sympathomimetic,81,1,manually
potassium-sparing diuretics,magnesium sparing diuretics,81,0,manually
hydrochloroquine,chloroquine,81,0,manually
cytotoxic agents,cytostatic agent,81,0,manually
antiarrhythmic drugs,anti-arrhythmic agents,81,1,manually
anti-arrhythmic agents,anti-arrhythmic,81,1,manually
anticholinergic medications,antipsychotic medications,81,0,manually
beta-blocking,beta-blocking agent,81,1,manually
telithromycin,clarithromycin,81,0,pubmed_formula
verapamil hydrochloride,levamisole hydrochloride,81,0,pubmed_formula
"antiarrhythmic agents, class i",anti-arrhythmic agents,81,0,manually
magnesium sulfate,magnesium salicylate,81,0,pubmed_formula
adrenergic neuron blocking agents,beta adrenergic blocking agents,81,0,manually
magnesium-aluminum hydroxide,magnesium hydroxide,81,0,manually
maoi antidepressants,cyclic antidepressants,81,0,manually
dirithromycin,clarithromycin,81,0,pubmed_formula
salicylic acid,p-aminosalicylic acid,80,0,pubmed_formula
s(-) warfarin,(s)-warfarin,80,1,pubmed_synonyms
ticlopidine,clonidine,80,0,pubmed_formula
oxymetazoline,oxymetholone,80,0,pubmed_formula
r(+) warfarin,(s)-warfarin,80,0,manually
r(+) warfarin,(r)-warfarin,80,1,manually
warfarin,(r)-warfarin,80,1,drugbank_syn
lodine,clonidine,80,0,pubmed_formula
cimetldine,cevimeline,80,0,manually
orudis kt,orudis,80,1,pubmed_synonyms
penicillin v,penicillamine,80,0,pubmed_formula
s(-) warfarin,(r)-warfarin,80,0,manually
penicillin g,penicillamine,80,0,pubmed_formula
procarbazine,oxcarbazepine,80,0,pubmed_formula
eulexin,cerulein,80,0,pubmed_formula
etofibrate,clofibrate,80,0,pubmed_formula
secobarbital,pentobarbital,80,0,pubmed_formula
surfactant,lung surfactant,80,0,manually
beta-blocking,beta-blocker,80,1,manually
interferon,beta-interferon,80,0,manually
pentobarbital,hexobarbital,80,0,pubmed_formula
tnf antagonist,5ht3 antagonists,80,0,manually
sparfloxacin,ciprofloxacin,80,0,pubmed_formula
h2-antagonists,5ht3 antagonists,80,0,manually
immunosuppressive,immunosuppressants,80,1,manually
folic acid,boric acid,80,0,pubmed_formula
pipracil,piperacillin,80,1,pubmed_synonyms
zimelidine,cimetldine,80,0,manually
zimelidine,cimetidine,80,0,pubmed_formula
rosiglitazone,pioglitazone,80,0,pubmed_formula
xanthine derivatives,phenothiazine derivatives,80,0,manually
immunosuppressive,immuno-suppressant,80,1,manually
warfarin,(s)-warfarin,80,1,drugbank_syn
secobarbital,phenobarbital,80,0,pubmed_formula
5-fu,5-dfur,80,0,pubmed_formula
hydrocortisone,hydrocodone,80,0,pubmed_formula
prochlorperazine,chlorpromazine,80,0,pubmed_formula
thyroxine,hydroxyzine,80,0,pubmed_formula
calcium-channel blockers,calcium channel blocking agents,80,1,manually
tramadol,toradol,80,0,pubmed_formula
nicotine,nicotinamide,80,0,pubmed_formula
fluoxetine,duloxetine,80,0,pubmed_formula
hydrodolasetron,dolasetron,80,0,pubmed_formula
dopamine hcl,dopamine,80,0,pubmed_formula
rifampin,rifadin,80,1,pubmed_synonyms
fluoxetine hydrochloride,fexofenadine hydrochloride,80,0,pubmed_formula
antiretroviral agents,antiretroviral,80,1,manually
s warfarin,r-warfarin,80,0,manually
activase,factive,80,0,manually
antithrombotics,antithrombotic agent,80,1,manually
lopressor,vasopressor,80,0,manually
anticonvulsant agents,anticonvulsant,80,1,manually
anti-coagulants,anticoagulant agents,80,1,manually
antithyroid drugs,antithyroid agents,80,1,manually
sulfoxone,sulfadoxine,80,0,pubmed_formula
penicillin,d-penicillamine,80,0,pubmed_formula
h2 receptor antagonists,dopamine d2 receptor antagonists,80,0,manually
s(-)warfarin,r(+) warfarin,80,0,manually
vitamin c,vitamin b12,80,0,pubmed_formula
parnate,arsenate,80,0,manually
vitamin d,vitamin b12,80,0,manually
sulfonylurea agent,sulfonylurea,80,1,manually
vitamin e,vitamin b12,80,0,pubmed_formula
s-warfarin,r warfarin,80,0,manually
vitamin k,vitamin b12,80,0,pubmed_formula
cycloserine,cyclosporine a,80,0,pubmed_formula
estrogen,antiestrogen,80,0,pubmed_formula
psychotropic drug,antipsychotic drug,80,0,manually
rocuronium,vecuronium,80,0,pubmed_formula
arbutamine,dobutamine,80,0,pubmed_formula
famciclovir,acyclovir,80,0,pubmed_formula
antifungal drug,antifungal,80,1,manually
therapeutic monoclonal antibodies,diagnostic monoclonal antibodies,80,0,manually
nimodipine,nifedipine,80,0,pubmed_formula
propoxyphene,dextropropoxyphene,80,1,drugbank_syn
antidiabetics,antidiabetic drug,80,1,manually
oxacillin,amoxicillin,80,0,pubmed_formula
norethandrolone,nandrolone,80,0,pubmed_formula
ranitidine,nizatidine,80,0,pubmed_formula
nifedipine,felodipine,80,0,pubmed_formula
anti-hypertensive drug,antihypertensive agents,80,1,manually
vitamin b12,vitamin a,80,0,pubmed_formula
warfarin,s(-)warfarin,80,0,manually
spermine,sparine,80,0,pubmed_formula
nimodipine,amlodipine,80,0,pubmed_formula
nrtis,nnrti,80,0,manually
vancomycin,lincomycin,80,0,pubmed_formula
erythromycin,dirithromycin,80,0,pubmed_formula
felodipine,amlodipine,80,0,pubmed_formula
antidiabetic drug,antidiabetic agent,80,1,manually
plicamycin,lincomycin,80,0,pubmed_formula
isoflurane,desflurane,80,0,pubmed_formula
penicillin,ampicillin,80,0,pubmed_formula
ketoprofen,fenoprofen,80,0,pubmed_formula
nefazadone,nafazodone,80,1,manually
vitamin d2,vitamin b3,80,0,pubmed_formula
ciclosporin,cyclosporine a,80,1,pubmed_synonyms
misonidazole,metronidazole,80,0,pubmed_formula
vitamin d3,vitamin b6,80,0,pubmed_formula
anesthesia,anesthetic,80,1,manually
antianxiety drugs,antianxiety agents,80,1,manually
pyrimethamine,promethazine,80,0,pubmed_formula
maalox tc,maalox,80,0,manually
thiazide,benzthiazide,80,0,pubmed_formula
grepafloxacin,gemifloxacin,80,0,pubmed_formula
procaine,cocaine,80,0,pubmed_formula
verapamil hydrochloride,bepridil hydrochloride,80,0,pubmed_formula
macrolide class,macrolides,80,1,manually
troleandomycin,triacetyloleandomycin,80,1,drugbank_syn
glipizide,glimepiride,80,0,pubmed_formula
beta adrenergic blockers,beta adrenergic-blocking agents,80,1,manually
antiarrhythmic drugs,anti-arrhythmic,80,1,manually
sparfloxacin,grepafloxacin,80,0,pubmed_formula
antiarrhythmic agent,anti-arrhythmic,80,1,manually
procarbazine,procaine,80,0,pubmed_formula
interferon-alfa,interferon,80,0,manually
flutamide,tolbutamide,80,0,pubmed_formula
interferon beta,interferon,80,0,manually
procaine,procainamide,80,0,pubmed_formula
ganciclovir,acyclovir,80,0,pubmed_formula
naproxen,anaprox,80,0,pubmed_formula
telithromycin,erythromycin,80,0,pubmed_formula
hydroxybupropion,threohydrobupropion,80,0,pubmed_formula
potassium depleting diuretics,non-potassium sparing diuretics,80,0,manually
adrenergic neuron blocking agents,alpha-adrenergic blocking agents,80,0,manually
quinidex,quinine,80,0,manually
prednisolone,methylprednisolone,80,0,pubmed_formula
dirithromycin,azithromycin,80,0,pubmed_formula
telithromycin,azithromycin,80,0,pubmed_formula
sevoflurane,enflurane,80,0,pubmed_formula
tetracycline class,tetracycline,80,1,manually
spermidine,meperidine,80,0,pubmed_formula
antiarrhythmic drugs,antiarrhythmic agent,80,1,manually
neurotensin,neurontin,80,0,pubmed_formula
vitamin d2,vitamin b6,80,0,pubmed_formula
"antiarrhythmic agents, class i",antiarrhythmic agent,80,0,manually
psychotropics,psychotropic drug,80,1,manually
lisinopril,fosinopril,80,0,pubmed_formula
thioxanthines,methylxanthines,79,0,manually
anticoagulant agents,anticoagulant,79,1,manually
non-potassium sparing diuretics,magnesium sparing diuretics,79,0,manually
vasopressor drugs,vasopressor,79,1,manually
dihydroergotamine mesylate,dihydroergotamine,79,0,pubmed_formula
chlorthalidone,chlorothiazide,79,0,pubmed_formula
neuroleptic drugs,neuroleptic,79,1,manually
veratrum alkaloids,ergot alkaloids,79,0,manually
monoamine oxidase inhibiting drugs,monoamine oxidase (mao) inhibitors,79,1,manually
antidiabetic products,antidiabetic drug,79,1,manually
magnesium trisilicate,magnesium sulfate,79,0,pubmed_formula
anesthetic agents,analgesic agents,79,0,manually
chlorpropamide,chlorpromazine,79,0,pubmed_formula
carboxytolbutamide,4-hydroxytolbutamide,79,0,pubmed_formula
calcium channel-blocking drugs,calcium channel blocker,79,1,manually
chlorpropamide,chloroprocaine,79,0,pubmed_formula
4-hydroxyatomoxetine,4-hydroxytamoxifen,79,0,pubmed_formula
uricosuric drugs,uricosuric agents,79,1,manually
cyclic antidepressants,anti-depressants,79,0,manually
tranylcypromine sulfate,tranylcypromine,79,0,pubmed_formula
adrenergic neuron blocking agents,beta-adrenergic blocking agent,79,0,manually
selegiline hydrochloride,levamisole hydrochloride,79,0,pubmed_formula
levamisole hydrochloride,colestipol hydrochloride,79,0,manually
levothyroxine sodium,levothyroxine,79,0,pubmed_formula
phenothiazine,benzothiazepine,79,0,pubmed_formula
antithyroid agents,antithrombotic agent,79,0,manually
methamphetamine,d-amphetamine,79,0,pubmed_formula
peginterferon,beta-interferon,79,0,manually
contraceptive agents,contraceptive,79,1,manually
non-selective beta-adrenergic-blocking agents,beta adrenergic-blocking agents,79,0,manually
mao-b inhibitor,ace inhibitor,79,0,manually
reverse transcriptase inhibitors,non-nucleoside reverse transcriptase inhibitor,79,0,manually
triazole antifungals,azole antifungal agents,79,0,manually
antipsychotic drug,antipsychotic agents,79,1,manually
dopamine hcl,clomipramine hcl,79,0,pubmed_formula
desipramine hydrochloride,buspirone hydrochloride,79,0,pubmed_formula
sodium nitroprusside,nitroprusside,79,0,manually
verapamil hydrochloride,desipramine hydrochloride,79,0,pubmed_formula
antihypertensive compounds,antihypertensive drugs,79,1,manually
fluoxetine hydrochloride,selegiline hydrochloride,79,0,pubmed_formula
phenobarbital sodium,phenobarbital,79,0,pubmed_formula
adrenergic drugs,adrenergic agents,79,1,manually
antiemetics,5-ht3 antiemetics,79,0,manually
serotonin reuptake inhibitor drug,selective serotonin reuptake inhibitor,79,0,manually
mephenytoin,fosphenytoin,78,0,pubmed_formula
miconazole,intraconazole,78,0,pubmed_formula
losartan,eprosartan,78,0,pubmed_formula
neuromuscular blocking agents,nondepolarizing neuromuscular blocking agents,78,0,manually
clonazepam,clobazam,78,0,pubmed_formula
trazodone hydrochloride,clonidine hydrochloride,78,0,pubmed_formula
midazolam,imidazole,78,0,pubmed_formula
oxytocic drugs,oxytocics,78,1,manually
naratriptan,frovatriptan,78,0,pubmed_formula
magnesium salt,magnesium,78,0,manually
ketamine,ergotamine,78,0,pubmed_formula
oxazepam,clonazepam,78,0,pubmed_formula
promazine,compazine,78,0,pubmed_formula
peripheral adrenergic blocking drugs,ganglionic adrenergic blocking drugs,78,0,manually
pravastatin,cerivastatin,78,0,pubmed_formula
simvastatin,cerivastatin,78,0,pubmed_formula
oxolinic acid,folic acid,78,0,pubmed_formula
colestid,colestipol,78,0,pubmed_formula
triazolam,estazolam,78,0,pubmed_formula
paroxetine,panretin,78,0,pubmed_formula
l-tyrosine,l-lysine,78,0,pubmed_formula
neomycin,lincomycin,78,0,pubmed_formula
norfloxacin,lomefloxacin,78,0,pubmed_formula
vancomycin,neomycin,78,0,pubmed_formula
trazodone hydrochloride,diltiazem hydrochloride,78,0,pubmed_formula
promazine,chlorpromazine,78,0,pubmed_formula
selegiline hydrochloride,desipramine hydrochloride,78,0,pubmed_formula
naltrexone,naloxone,78,0,pubmed_formula
levamisole hydrochloride,desipramine hydrochloride,78,0,pubmed_formula
oxacillin,nafcillin,78,0,pubmed_formula
dopamine,dobutamine,78,0,pubmed_formula
terfenadine,fexofenadine,78,0,pubmed_formula
kappa-selective opioids,delta(1)-selective opioids,78,0,manually
mu-selective opioids,delta(1)-selective opioids,78,0,manually
doxorubicin,daunorubicin,78,0,pubmed_formula
procaine,chirocaine,78,0,pubmed_formula
doxylamine,dopamine,78,0,pubmed_formula
bezafibrate,fibrate,78,0,manually
vitamin k antagonists,dopamine antagonists,78,0,manually
procarbazine,dacarbazine,78,0,pubmed_formula
norfloxacin,levofloxacin,78,0,pubmed_formula
halothane,fluothane,78,1,pubmed_synonyms
olprinone,milrinone,78,0,pubmed_formula
dasatinib,lapatinib,78,0,pubmed_formula
triazolam,midazolam,78,0,pubmed_formula
innovar vet,innovar,78,1,pubmed_synonyms
rosuvastatin,fluvastatin,78,0,pubmed_formula
sparfloxacin,norfloxacin,78,0,pubmed_formula
enoxaparin,enoxacin,78,0,pubmed_formula
magnesium/choline salicylate,choline salicylate,78,0,manually
propoxyphene hydrochloride,buspirone hydrochloride,78,0,pubmed_formula
s warfarin,r(+) warfarin,78,0,manually
trazodone hydrochloride,buspirone hydrochloride,78,0,pubmed_formula
tenormin,phenformin,78,0,pubmed_formula
beta-adrenergic receptor blocking agents,alpha-adrenergic blocking agents,78,0,manually
cyclic antidepressants,antidepressant,78,0,manually
vitamins,vitamin b6,78,0,manually
protamine,promazine,78,0,manually
romazicon,promazine,78,0,pubmed_formula
fentanyl,alfentanil,78,0,pubmed_formula
vitamin-d,vitamin c,78,0,manually
propofol,propanolol,78,0,pubmed_formula
vitamins,vitamin d2,78,0,manually
antiepileptic drugs,antidiabetic drug,78,0,manually
trazodone hydrochloride,propoxyphene hydrochloride,78,0,pubmed_formula
vitamins,vitamin d3,78,0,manually
vitamin-d,vitamin e,78,0,manually
dopaminergic agents,adrenergic agents,78,0,manually
serotonergic agents,adrenergic agents,78,0,manually
histamine,vitamin e,78,0,pubmed_formula
zalcitabine,capecitabine,78,0,pubmed_formula
vitamins,vitamin b3,78,0,manually
anticholinergic drugs,anticholinergic compounds,78,1,manually
dezocine,benzocaine,78,0,pubmed_formula
adrenergic neuron blocking agents,beta adrenergic-blocking agents,78,0,manually
antianxiety agents,anti-anxiety drugs,78,1,manually
antiarrhythmic,anti-arrhythmic agents,78,1,manually
adrenergic neuron blocking agents,beta-adrenergic-blocking agents,78,0,manually
rosuvastatin,pravastatin,78,0,pubmed_formula
protease inhibitor,anti-hiv protease inhibitors,78,1,manually
avastin,pravastatin,78,0,manually
phentolamine,amphetamine,78,0,pubmed_formula
vitamin-d,vitamin a,78,0,manually
beta adrenergic blockers,beta-adrenergic blocking agent,78,1,manually
dorzolamide,brinzolamide,78,0,pubmed_formula
cuprimine,primidone,78,0,pubmed_formula
beta adrenergic blocking agents,beta-adrenergic blocker,78,1,manually
beta-adrenergic-blocking agents,beta-adrenergic blocker,78,1,manually
anticholinesterase agents,anticholinergic agent,78,1,manually
synthetic steroids,synthetic steroidal estrogen,78,0,manually
magnesium-aluminum hydroxide,aluminum hydroxide,78,0,manually
vitamin-d,vitamin k,78,0,manually
calcium-channel blockers,calcium channel-blocking drugs,78,1,manually
rapamycin,kanamycin,78,0,pubmed_formula
ganglionic blocking agents,b-adrenergic blocking agents,78,0,manually
pravastatin,atorvastatin,78,0,pubmed_formula
pyrimethamine,pyrilamine,78,0,pubmed_formula
s(-) warfarin,r warfarin,78,0,manually
histamine,antihistamines,78,0,manually
somatropin,atropine,78,0,manually
acetaldehyde,paraldehyde,78,0,pubmed_formula
psychotropic drug,psychotropic agents,78,1,manually
s(-) warfarin,r-warfarin,78,0,manually
s(-)warfarin,r- warfarin,78,0,manually
boric acid,ascorbic acid,78,0,pubmed_formula
r- warfarin,(s)-warfarin,78,0,manually
antihypertensive compounds,antihypertensive agents,78,1,manually
rapamycin,rifamycin,78,0,pubmed_formula
antipsychotic agents,antineoplastic agents,78,0,manually
simvastatin,rosuvastatin,78,0,pubmed_formula
r-warfarin,r(+) warfarin,78,1,manually
s- warfarin,(r)-warfarin,78,0,manually
neuroleptic drugs,antiepileptic drugs,78,0,manually
clotrimazole,carbimazole,78,0,pubmed_formula
phentolamine,pentamidine,78,0,pubmed_formula
somatostatin,simvastatin,78,0,pubmed_formula
antipyretics,antiemetics,78,0,manually
antidiabetic medication,antiplatelet medication,78,0,manually
non-selective beta-adrenergic-blocking agents,beta-adrenergic blocking agent,77,0,manually
antipyretics,antipsychotics,77,0,manually
depen,depakene,77,0,pubmed_formula
methenamine,methamphetamine,77,0,pubmed_formula
imipramine hydrochloride,clonidine hydrochloride,77,0,pubmed_formula
anticoagulant medication,antiplatelet medication,77,0,manually
selegiline hydrochloride,diltiazem hydrochloride,77,0,pubmed_formula
